ultrasonico,fotorresistencia,color1,color2,color3,ambiente
280,152,489,503,492,uno
278,149,498,512,499,uno
272,148,489,513,493,uno
274,151,493,515,499,uno
280,152,486,506,496,uno
279,147,499,513,495,uno
278,152,491,509,497,uno
280,148,507,512,497,uno
280,145,503,515,501,uno
278,145,497,519,498,uno
273,143,503,517,496,uno
278,148,495,517,494,uno
273,148,501,517,485,uno
280,147,485,516,492,uno
278,145,503,521,499,uno
278,148,488,519,500,uno
279,149,484,512,489,uno
272,145,523,527,454,uno
270,149,497,517,491,uno
278,147,500,520,499,uno
280,152,489,515,498,uno
282,144,509,517,511,uno
278,150,486,512,485,uno
278,145,499,523,513,uno
275,146,504,521,509,uno
272,149,493,521,485,uno
274,148,497,518,506,uno
272,148,480,506,487,uno
280,144,493,509,493,uno
276,148,498,525,506,uno
280,147,499,512,499,uno
278,147,479,507,492,uno
283,143,484,499,484,uno
284,148,500,506,496,uno
280,146,496,462,510,uno
454,321,25,694,430,dos
376,147,439,756,434,dos
377,145,437,755,429,dos
374,149,400,693,406,dos
502,323,379,589,378,dos
8157,269,385,600,391,dos
382,246,432,746,436,dos
374,142,429,750,438,dos
370,148,400,691,400,dos
452,322,396,616,396,dos
641,298,394,595,388,dos
8157,266,351,517,350,dos
370,150,404,688,407,dos
369,145,428,746,427,dos
374,141,436,755,433,dos
385,150,433,743,433,dos
383,246,428,735,434,dos
382,247,435,732,433,dos
374,230,402,680,403,dos
376,151,404,695,398,dos
375,150,412,723,414,dos
376,147,426,735,423,dos
371,146,429,744,424,dos
382,247,429,717,417,dos
377,156,403,685,403,dos
369,145,432,755,434,dos
370,143,427,748,427,dos
428,318,426,722,433,dos
528,326,371,640,396,dos
383,152,401,711,419,dos
375,143,426,745,433,dos
536,322,384,604,379,dos
406,192,390,673,398,dos
374,141,409,735,414,dos
382,249,435,732,435,dos
598,398,431,524,450,tres
501,359,498,649,519,tres
526,322,535,684,537,tres
503,207,513,628,512,tres
500,312,545,674,528,tres
631,398,442,459,394,tres
522,372,458,561,469,tres
496,209,490,586,484,tres
529,210,505,659,544,tres
752,401,426,491,438,tres
553,388,449,541,525,tres
493,206,513,615,507,tres
512,348,463,534,450,tres
498,224,536,580,491,tres
498,208,551,688,546,tres
597,395,434,521,438,tres
494,234,539,584,504,tres
502,198,493,598,517,tres
529,211,492,604,540,tres
520,387,445,537,448,tres
500,326,536,665,527,tres
501,203,488,590,490,tres
514,213,480,621,555,tres
582,396,442,525,439,tres
494,204,492,601,502,tres
547,394,432,536,486,tres
484,196,496,593,488,tres
487,315,536,545,462,tres
517,387,437,522,437,tres
493,200,499,597,494,tres
503,209,538,652,543,tres
551,391,450,534,441,tres
526,203,506,615,482,tres
489,206,486,602,481,tres
492,274,509,609,519,tres
