ultrasonico;fotorresistencia;color1;color2;color3;ambiente
286;128;750;502;469;UNO
292;128;748;508;470;UNO
292;128;747;502;476;UNO
292;128;748;502;476;UNO
292;128;753;507;470;UNO
291;128;749;507;469;UNO
285;128;747;502;470;UNO
295;128;747;507;476;UNO
291;127;749;507;470;UNO
285;128;748;508;469;UNO
286;128;754;508;476;UNO
292;128;749;501;475;UNO
291;128;750;503;475;UNO
292;128;748;502;477;UNO
292;128;753;507;470;UNO
292;128;749;507;469;UNO
289;127;749;508;470;UNO
291;128;748;502;475;UNO
297;128;750;509;470;UNO
292;128;748;508;470;UNO
291;128;748;502;476;UNO
292;127;750;502;476;UNO
292;127;756;503;476;UNO
292;128;748;503;477;UNO
285;128;748;501;470;UNO
285;128;757;508;476;UNO
297;127;751;503;476;UNO
292;127;756;509;476;UNO
291;127;749;503;471;UNO
285;128;748;503;477;UNO
292;127;748;502;477;UNO
292;127;750;502;475;UNO
292;128;750;503;475;UNO
291;128;751;503;469;UNO
290;128;747;502;476;UNO
292;127;750;502;475;UNO
295;127;749;502;476;UNO
291;128;754;508;470;UNO
286;128;747;503;477;UNO
290;127;746;507;470;UNO
264;126;755;507;469;UNO
257;125;750;502;469;UNO
261;125;748;502;477;UNO
265;127;764;507;482;UNO
265;128;778;520;481;UNO
259;129;772;520;480;UNO
265;127;760;508;474;UNO
263;129;751;506;479;UNO
264;128;757;511;472;UNO
257;127;757;504;478;UNO
264;128;759;509;477;UNO
268;128;753;511;477;UNO
258;127;755;505;478;UNO
264;125;764;514;478;UNO
265;121;716;491;463;UNO
267;122;716;496;468;UNO
265;121;718;491;462;UNO
265;122;712;496;468;UNO
265;122;712;495;468;UNO
270;123;714;488;461;UNO
259;123;713;490;468;UNO
266;123;712;496;462;UNO
266;122;726;499;463;UNO
257;126;760;506;482;UNO
263;126;757;504;473;UNO
258;126;763;511;474;UNO
263;125;753;506;475;UNO
257;127;753;504;480;UNO
263;126;762;512;473;UNO
263;126;755;505;480;UNO
263;127;753;506;475;UNO
264;126;760;506;474;UNO
268;124;729;492;463;UNO
266;125;718;492;470;UNO
265;123;765;510;480;UNO
259;122;760;517;480;UNO
259;122;763;514;470;UNO
266;125;717;492;469;UNO
265;125;714;498;470;UNO
265;125;720;497;470;UNO
265;125;716;496;463;UNO
265;124;715;497;464;UNO
258;125;759;514;477;UNO
257;127;754;513;476;UNO
258;126;754;506;482;UNO
263;125;756;511;482;UNO
263;126;757;515;475;UNO
257;126;758;513;481;UNO
263;126;755;514;476;UNO
268;127;760;507;476;UNO
269;125;722;502;474;UNO
265;124;729;502;473;UNO
259;124;727;504;478;UNO
257;127;761;511;480;UNO
257;127;761;510;479;UNO
257;126;764;516;478;UNO
263;127;764;517;485;UNO
263;127;770;512;479;UNO
257;127;762;516;485;UNO
263;127;764;510;478;UNO
263;127;765;512;485;UNO
264;126;761;511;480;UNO
263;127;771;510;479;UNO
257;126;764;518;485;UNO
263;127;767;511;479;UNO
257;125;768;511;485;UNO
263;128;764;517;478;UNO
264;128;761;517;479;UNO
263;127;762;510;486;UNO
264;127;773;511;485;UNO
263;127;764;517;485;UNO
263;128;764;517;478;UNO
263;127;760;517;479;UNO
257;127;761;516;479;UNO
263;127;763;511;478;UNO
257;128;764;517;484;UNO
